Name,Eimeria_IL,Crypto_IL,Eimeria presence in Caecum,Worms,Sex,GPS.latitude,GPS.longitude,Status,Eimeria subspecies,deltaCtMmE_tissue,BMI.BMI
CEWE_AA_662,FALSE,FALSE,TRUE,FALSE,M,5330785,141413,juvenile,E. falciformis,-2.5,0.001922222222222
CEWE_AA_663,FALSE,FALSE,FALSE,FALSE,F,5330785,141413,pregnant,non infected,-8.67,0.002932256235828
CEWE_AA_664,FALSE,FALSE,FALSE,TRUE,F,5330785,141413,juvenile,non infected,-9.08,0.002075
CEWE_AA_665,FALSE,FALSE,FALSE,TRUE,F,5330785,141413,juvenile,non infected,-7.97,0.002345337026777
CEWE_AA_666,FALSE,TRUE,TRUE,FALSE,F,5330785,141413,juvenile,E. falciformis,-5.13,0.002291236629762
CEWE_AA_667,FALSE,TRUE,FALSE,TRUE,F,5330705,140939,adult,non infected,-10.46,0.002435507130268
CEWE_AA_668,FALSE,FALSE,FALSE,TRUE,F,5330705,140939,adult,non infected,-8.53,0.002721836419753
CEWE_AA_669,FALSE,TRUE,FALSE,TRUE,F,5229328,139106,juvenile,non infected,-9.98,0.001964802851415
CEWE_AA_670,FALSE,FALSE,FALSE,FALSE,M,5335516,115091,juvenile,non infected,-7.48,0.002292676874722
CEWE_AA_671,FALSE,FALSE,FALSE,FALSE,F,5336228,113333,pregnant,non infected,-8.25,0.003092073959499
CEWE_AA_672,FALSE,FALSE,FALSE,FALSE,M,5227369,136605,juvenile,non infected,-10.96,0.002981979988119
CEWE_AA_673,FALSE,FALSE,FALSE,TRUE,M,5229967,131779,adult,non infected,-8.22,0.002441441382513
CEWE_AA_674,FALSE,FALSE,FALSE,FALSE,M,5229967,131779,adult,non infected,-9.48,0.002803527866391
CEWE_AA_675,FALSE,FALSE,FALSE,TRUE,F,5229967,131779,adult,non infected,-7.93,0.002501407393507
CEWE_AA_676,FALSE,FALSE,FALSE,TRUE,F,5229967,131779,adult,non infected,-9.57,0.002604494854022
CEWE_AA_677,FALSE,FALSE,FALSE,TRUE,M,5229967,131779,juvenile,non infected,-9.13,0.002455555555556
CEWE_AA_678,FALSE,FALSE,FALSE,FALSE,M,5229328,139106,adult,non infected,-7.98,0.002251627809284
CEWE_AA_679,FALSE,TRUE,FALSE,FALSE,M,5226077,140839,adult,non infected,-10.17,0.002508860799892
CEWE_AA_680,FALSE,FALSE,FALSE,FALSE,M,5229228,132566,adult,non infected,-8.2,0.002514347172848
