"","Mouse_ID","Ct.Eimeria","MC.Eimeria","Ct.Mus","delta","EXP_type","IFNy","CD4","Treg","Div_Treg","Treg17","Th1","Div_Th1","Th17","Div_Th17","CD8","Act_CD8","Div_Act_CD8","IFNy_CD4","IL17A_CD4","IFNy_CD8","Position"
"94","AA_0732",31.45,TRUE,23.0933333333333,-8.35666666666667,"wild",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","AA_0733",33.87,FALSE,22.4433333333333,-11.4266666666667,"wild",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","AA_0734",31.3266666666667,TRUE,21.8066666666667,-9.52,"wild",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","AA_0735",31.8366666666667,TRUE,18.5566666666667,-13.28,"wild",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","AA_0736",31.1033333333333,TRUE,18.8066666666667,-12.2966666666667,"wild",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99","AA_0737",25.4333333333333,TRUE,25.83,0.396666666666665,"wild",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100","AA_0738",31.8133333333333,TRUE,24.5466666666667,-7.26666666666667,"wild",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101","AA_0739",33.11,FALSE,20.985,-12.125,"wild",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102","AA_0740",32.22,TRUE,22.9566666666667,-9.26333333333333,"wild",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103","AA_0741",33.6,TRUE,23.13,-10.47,"wild",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104","AA_0742",31.92,TRUE,22.2233333333333,-9.69666666666667,"wild",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105","AA_0743",32.7433333333333,TRUE,23.1966666666667,-9.54666666666667,"wild",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106","AA_0744",31.18,TRUE,24,-7.18,"wild",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107","AA_0746",24.8,TRUE,22.5233333333333,-2.27666666666667,"wild",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108","AA_0747",31.7566666666667,FALSE,23.3633333333333,-8.39333333333333,"wild",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109","AA_0749",32.85,FALSE,18.7633333333333,-14.0866666666667,"wild",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110","AA_0750",33.3366666666667,FALSE,22.22,-11.1166666666667,"wild",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"111","AA_0751",34.7,TRUE,22.4533333333333,-12.2466666666667,"wild",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112","AA_0752",34.94,FALSE,23.7033333333333,-11.2366666666667,"wild",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113","AA_0753",34.2766666666667,TRUE,24.53,-9.74666666666667,"wild",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114","AA_0754",32.3566666666667,TRUE,26.6,-5.75666666666667,"wild",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115","AA_0755",30.4233333333333,TRUE,23.9666666666667,-6.45666666666666,"wild",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116","AA_0756",34.7766666666667,FALSE,23.2366666666667,-11.54,"wild",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117","AA_0757",35.04,FALSE,24.09,-10.95,"wild",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118","AA_0758",32.93,TRUE,23.79,-9.14,"wild",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119","AA_0760",33.63,FALSE,25.0733333333333,-8.55666666666667,"wild",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120","AA_0761",33.5766666666667,FALSE,21.56,-12.0166666666667,"wild",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121","AA_0762",32.5066666666667,FALSE,25.2033333333333,-7.30333333333333,"wild",61.5859358002492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122","AA_0763",35.9333333333333,FALSE,25.14,-10.7933333333333,"wild",22.0498071645638,28.7,4.49,25.8,8.63,4.99,46.1,0.94,25.1,11.2,5.26,40.8,0.57,0.048,2.57,"mLN"
"123","AA_0763",35.9333333333333,FALSE,25.14,-10.7933333333333,"wild",22.0498071645638,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.7,0.34,9.42,"spleen"
"124","AA_0764",33.29,FALSE,23.6266666666667,-9.66333333333333,"wild",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.4,0.95,10.8,"spleen"
"125","AA_0764",33.29,FALSE,23.6266666666667,-9.66333333333333,"wild",NA,45.4,8.66,19.3,7.23,1.96,36,1.09,14.3,12.5,10.2,19.4,0.51,0.22,9.26,"mLN"
"126","AA_0765",34.0166666666667,TRUE,24.04,-9.97666666666667,"wild",14.0974744806951,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.39,0.98,5.2,"spleen"
"127","AA_0765",34.0166666666667,TRUE,24.04,-9.97666666666667,"wild",14.0974744806951,46.1,4.2,25,12.8,2.06,39.5,1.19,21.3,9.41,7.89,39.4,1.42,0,3.23,"mLN"
"128","AA_0766",35.1433333333333,FALSE,24.3333333333333,-10.81,"wild",5.52080144264973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.44,0,6.49,"spleen"
"129","AA_0766",35.1433333333333,FALSE,24.3333333333333,-10.81,"wild",5.52080144264973,32.8,3.53,29.4,9.48,1.09,49.2,1.01,22.4,4.97,4.97,37.8,0.56,0,9.52,"mLN"
